od_id,dist_short_m,dist_fast_m,dist_eco_m,dist_rec_m,time_short_s,time_fast_s,time_eco_s,time_rec_s,co2_short_g,co2_fast_g,co2_eco_g,co2_rec_g,system_choice,saved_vs_short_pct,saved_vs_fast_pct
1,2337.2,2351.2,2397.0,2351.2,243.0,243.0,258.0,243.0,1208.36,1170.58,1256.39,1170.58,最快路线,3.13,0.0
2,1225.2,1225.2,1344.8,1225.2,95.0,95.0,121.0,95.0,419.7,419.7,591.2,419.7,最短路线,0.0,0.0
3,1271.8,1398.4,1398.4,1271.8,174.0,164.0,164.0,174.0,615.97,680.95,680.95,615.97,最短路线,0.0,9.54
4,1877.9,1904.3,1904.3,1904.3,205.0,190.0,190.0,190.0,866.87,814.77,814.77,814.77,最快路线,6.01,0.0
5,3313.3,3322.7,3323.5,3313.3,260.0,262.0,262.0,260.0,1168.39,1195.35,1199.19,1168.39,最短路线,0.0,2.26
6,2558.1,2606.7,2625.0,2625.0,408.0,408.0,300.0,300.0,1724.84,1810.31,1449.05,1449.05,低碳走廊,15.99,19.96
7,2029.7,2060.5,2074.1,2074.1,283.0,278.0,259.0,259.0,1239.56,1230.78,1189.84,1189.84,低碳走廊,4.01,3.33
8,1936.2,1936.2,1994.7,1936.2,191.0,191.0,276.0,191.0,809.11,809.11,1022.35,809.11,最短路线,0.0,0.0
9,2460.3,2460.3,2474.7,2460.3,193.0,193.0,232.0,193.0,1014.67,1014.67,1235.68,1014.67,最短路线,0.0,0.0
10,2295.5,2525.5,2564.8,2525.5,235.0,164.0,172.0,164.0,1160.73,943.23,974.25,943.23,最快路线,18.74,0.0
11,3185.5,3201.9,3232.9,3201.9,263.0,262.0,352.0,262.0,1408.73,1388.03,1566.46,1388.03,最快路线,1.47,0.0
12,2150.1,2164.7,2165.3,2164.7,284.0,195.0,195.0,195.0,1232.34,973.12,1052.47,973.12,最快路线,21.03,0.0
13,3149.8,3257.3,3395.2,3257.3,273.0,240.0,424.0,240.0,1280.46,1251.45,1956.55,1251.45,最快路线,2.27,0.0
14,2636.8,2773.2,3141.0,2636.8,238.0,249.0,335.0,238.0,1186.63,1277.44,1639.21,1186.63,最短路线,0.0,7.11
15,2606.2,2772.5,2811.8,2772.5,301.0,295.0,295.0,295.0,1411.03,1362.09,1373.41,1362.09,最快路线,3.47,0.0
16,1308.8,1308.8,1709.9,1308.8,187.0,187.0,262.0,187.0,685.59,685.59,1064.29,685.59,最短路线,0.0,0.0
17,3623.3,3767.7,3723.4,3767.7,349.0,259.0,440.0,259.0,1726.17,1394.67,2073.7,1394.67,最快路线,19.2,0.0
18,1242.5,1273.3,1286.9,1242.5,133.0,214.0,196.0,133.0,682.88,921.26,922.0,682.88,最短路线,0.0,25.88
19,2422.4,2422.4,2428.1,2422.4,229.0,229.0,231.0,229.0,848.66,848.66,858.47,848.66,最短路线,0.0,0.0
20,1880.5,1892.1,1925.8,1880.5,237.0,237.0,250.0,237.0,1007.24,1062.72,1116.66,1007.24,最短路线,0.0,5.22
21,1754.7,1805.2,1819.6,1805.2,121.0,105.0,135.0,105.0,690.56,633.74,882.71,633.74,最快路线,8.23,0.0
22,1427.4,1451.2,1496.4,1427.4,149.0,149.0,149.0,149.0,772.96,857.56,892.32,772.96,最短路线,0.0,9.87
23,2699.3,2929.0,2788.2,2699.3,214.0,213.0,209.0,214.0,1075.21,1218.72,1207.16,1075.21,最短路线,0.0,11.78
24,3546.0,3562.4,3861.0,3861.0,383.0,312.0,292.0,292.0,1854.25,1659.77,1544.93,1544.93,低碳走廊,16.68,6.92
25,3602.2,3705.1,4034.0,4034.0,494.0,494.0,224.0,224.0,2169.52,2266.83,1174.88,1174.88,低碳走廊,45.85,48.17
26,3339.3,3414.7,3603.4,3603.4,500.0,482.0,338.0,338.0,2093.72,2116.0,1802.65,1802.65,低碳走廊,13.9,14.81
27,1241.0,1256.4,1637.1,1241.0,173.0,209.0,189.0,173.0,691.55,952.84,1042.38,691.55,最短路线,0.0,27.42
28,3073.0,3147.0,3147.0,3073.0,212.0,288.0,288.0,212.0,1067.24,1443.02,1443.02,1067.24,最短路线,0.0,26.04
29,3974.8,3974.8,4485.4,3974.8,289.0,289.0,417.0,289.0,1515.16,1515.16,1955.95,1515.16,最短路线,0.0,0.0
30,1543.6,1571.8,1571.8,1543.6,117.0,157.0,157.0,117.0,665.57,774.67,774.67,665.57,最短路线,0.0,14.08
31,1612.7,1633.0,1644.6,1633.0,171.0,136.0,135.0,136.0,884.1,807.67,811.99,807.67,最快路线,8.64,0.0
